Carbon Monoxide,Butane,Humidity,Temp in °C,Class
228,110,13,24,0
228,110,13,24,0
228,110,13,24,0
228,110,13,24,0
228,110,13,24,0
228,111,13,24,0
228,111,13,24,0
228,111,13,24,0
228,111,13,24,0
229,111,13,24,0
229,111,13,24,0
229,112,13,24,0
229,111,13,24,0
229,111,13,24,0
229,112,13,24,0
229,112,13,24,0
230,112,13,24,0
230,111,13,24,0
230,112,13,24,0
230,112,13,24,0
230,112,13,24,0
230,112,13,24,0
231,112,13,24,0
231,112,13,24,0
231,112,13,24,0
231,112,13,24,0
231,112,13,24,0
232,113,13,24,0
231,112,13,24,0
232,113,13,24,0
231,112,13,24,0
231,113,13,24,0
232,113,13,24,0
232,113,13,24,0
232,112,13,24,0
232,113,13,24,0
232,113,13,24,0
232,113,13,24,0
232,113,13,24,0
232,113,13,24,0
232,113,13,24,0
233,113,13,24,0
233,113,13,24,0
233,113,13,24,0
233,114,13,24,0
233,114,13,24,0
233,114,13,24,0
233,113,13,24,0
234,114,13,24,0
233,114,13,24,0
233,114,13,24,0
233,114,13,24,0
233,114,13,24,0
233,115,13,24,0
233,113,13,24,0
234,114,13,24,0
234,115,13,24,0
234,114,13,24,0
234,114,13,24,0
234,114,13,24,0
234,115,13,24,0
400,162,40,33,1
551,203,68,33,1
696,245,99,34,1
551,198,66,13,1
398,165,43,14,1
241,125,8,16,1
234,114,13,24,0
235,114,13,24,0
234,114,13,24,0
234,114,13,24,0
234,114,13,24,0
235,114,13,24,0
234,114,13,24,0
234,114,13,24,0
234,114,13,24,0
234,114,13,24,0
235,114,13,24,0
235,115,13,24,0
234,114,13,24,0
235,115,13,24,0
235,114,13,24,0
235,114,13,24,0
235,115,13,24,0
235,115,13,24,0
235,114,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,115,13,24,0
235,116,13,24,0
235,115,13,24,0
235,115,13,24,0
235,116,13,24,0
449,162,58,32,1
661,207,109,32,1
451,150,65,15,1
247,94,21,12,1
236,115,13,24,0
235,115,13,24,0
236,115,13,24,0
236,115,13,24,0
236,115,13,24,0
235,115,13,24,0
236,115,13,24,0
236,115,13,24,0
236,115,13,24,0
235,115,13,24,0
236,115,13,24,0
236,115,13,24,0
236,115,13,24,0
236,115,13,24,0
236,115,13,24,0
236,115,13,24,0
447,171,63,34,1
662,217,106,34,1
434,171,58,13,1
217,118,18,16,1
